"rideable_type","member_casual","minutes_by_group","day_of_week","month","hour_of_day"
"classic_bike","member","up to 10 min.","Tuesday","October",17
"classic_bike","member","10 to 30 min.","Saturday","April",16
"electric_bike","member","up to 10 min.","Thursday","August",17
"classic_bike","casual","10 to 30 min.","Friday","July",19
"classic_bike","member","up to 10 min.","Tuesday","February",12
"electric_bike","member","up to 10 min.","Friday","March",14
"electric_bike","member","up to 10 min.","Tuesday","November",9
"electric_bike","casual","up to 10 min.","Wednesday","February",8
"electric_bike","casual","up to 10 min.","Wednesday","October",1
"classic_bike","member","10 to 30 min.","Thursday","April",20
"electric_bike","member","up to 10 min.","Wednesday","February",12
"classic_bike","member","up to 10 min.","Wednesday","July",18
"electric_bike","member","10 to 30 min.","Tuesday","June",18
"classic_bike","member","up to 10 min.","Monday","May",17
"classic_bike","member","up to 10 min.","Monday","February",16
"electric_bike","member","up to 10 min.","Thursday","July",22
"classic_bike","casual","10 to 30 min.","Thursday","September",10
"classic_bike","member","10 to 30 min.","Tuesday","July",19
"classic_bike","member","up to 10 min.","Monday","September",7
"electric_bike","member","up to 10 min.","Friday","August",10
"electric_bike","member","up to 10 min.","Monday","September",16
"classic_bike","member","up to 10 min.","Thursday","April",17
"classic_bike","member","up to 10 min.","Thursday","May",9
"classic_bike","member","10 to 30 min.","Sunday","December",15
"electric_scooter","casual","up to 10 min.","Monday","September",17
"classic_bike","casual","30 to 60 min.","Sunday","September",8
"classic_bike","member","up to 10 min.","Tuesday","August",7
"classic_bike","casual","30 to 60 min.","Friday","October",23
"electric_bike","member","10 to 30 min.","Thursday","September",17
"classic_bike","casual","up to 10 min.","Thursday","July",17
"classic_bike","member","up to 10 min.","Thursday","January",11
"electric_bike","member","10 to 30 min.","Thursday","August",14
"classic_bike","member","10 to 30 min.","Friday","May",18
"electric_bike","member","up to 10 min.","Thursday","September",16
"classic_bike","member","10 to 30 min.","Monday","February",17
"electric_bike","member","10 to 30 min.","Saturday","December",16
"classic_bike","member","10 to 30 min.","Saturday","November",15
"electric_bike","member","10 to 30 min.","Wednesday","November",13
"classic_bike","member","10 to 30 min.","Wednesday","October",14
"classic_bike","casual","10 to 30 min.","Wednesday","June",17
"electric_bike","casual","10 to 30 min.","Saturday","June",1
"electric_bike","member","10 to 30 min.","Wednesday","May",7
"classic_bike","member","up to 10 min.","Saturday","July",18
"electric_bike","casual","up to 10 min.","Saturday","April",10
"electric_scooter","casual","up to 10 min.","Monday","September",8
"classic_bike","member","10 to 30 min.","Thursday","July",16
"electric_bike","casual","10 to 30 min.","Saturday","July",22
"electric_bike","casual","up to 10 min.","Saturday","July",11
"classic_bike","member","up to 10 min.","Thursday","December",18
"classic_bike","member","up to 10 min.","Wednesday","July",9
"classic_bike","member","10 to 30 min.","Friday","October",11
"classic_bike","member","10 to 30 min.","Saturday","October",14
"electric_bike","member","10 to 30 min.","Thursday","September",8
"classic_bike","casual","up to 10 min.","Sunday","October",8
"classic_bike","member","10 to 30 min.","Wednesday","August",19
"classic_bike","member","10 to 30 min.","Saturday","May",14
"classic_bike","member","10 to 30 min.","Tuesday","April",7
"electric_bike","casual","10 to 30 min.","Wednesday","May",14
"electric_bike","member","up to 10 min.","Friday","June",14
"classic_bike","casual","30 to 60 min.","Saturday","August",12
"electric_bike","member","up to 10 min.","Tuesday","March",8
"classic_bike","member","up to 10 min.","Sunday","August",18
"electric_bike","casual","10 to 30 min.","Friday","October",15
"electric_bike","member","up to 10 min.","Friday","December",12
"electric_bike","casual","up to 10 min.","Friday","September",6
"classic_bike","casual","10 to 30 min.","Saturday","July",10
"classic_bike","member","10 to 30 min.","Sunday","March",17
"classic_bike","member","up to 10 min.","Saturday","April",10
"electric_bike","member","up to 10 min.","Thursday","February",18
"classic_bike","member","up to 10 min.","Wednesday","May",21
"electric_bike","casual","10 to 30 min.","Friday","September",15
"classic_bike","casual","10 to 30 min.","Saturday","September",15
"classic_bike","member","up to 10 min.","Monday","October",7
