"rideable_type","member_casual","minutes_by_group","day_of_week","month","hour_of_day"
"classic_bike","member","up to 10 min.","Wednesday","May",18
"classic_bike","member","up to 10 min.","Wednesday","July",15
"electric_bike","casual","up to 10 min.","Friday","July",13
"electric_bike","member","up to 10 min.","Saturday","June",9
"classic_bike","member","30 to 60 min.","Saturday","September",13
"classic_bike","casual","10 to 30 min.","Wednesday","August",13
"electric_bike","member","up to 10 min.","Wednesday","October",17
"classic_bike","member","up to 10 min.","Tuesday","June",16
"electric_bike","casual","up to 10 min.","Sunday","May",17
"electric_bike","casual","10 to 30 min.","Wednesday","May",19
"electric_bike","member","up to 10 min.","Wednesday","July",15
"classic_bike","member","up to 10 min.","Tuesday","August",16
"classic_bike","member","up to 10 min.","Tuesday","February",7
"classic_bike","member","10 to 30 min.","Friday","October",12
"electric_bike","member","up to 10 min.","Saturday","June",6
"electric_bike","casual","10 to 30 min.","Saturday","September",16
"classic_bike","member","10 to 30 min.","Monday","December",11
"classic_bike","member","10 to 30 min.","Friday","June",1
"electric_bike","member","up to 10 min.","Thursday","June",6
"electric_bike","member","up to 10 min.","Saturday","November",13
"classic_bike","member","up to 10 min.","Wednesday","February",18
"electric_bike","casual","10 to 30 min.","Tuesday","December",16
"classic_bike","member","up to 10 min.","Saturday","September",21
"electric_bike","casual","up to 10 min.","Saturday","March",13
"electric_bike","member","10 to 30 min.","Tuesday","February",16
"electric_bike","member","up to 10 min.","Saturday","February",22
"electric_bike","casual","10 to 30 min.","Monday","July",19
"classic_bike","casual","10 to 30 min.","Monday","October",14
"electric_bike","casual","up to 10 min.","Monday","July",8
"electric_bike","member","up to 10 min.","Friday","April",16
"electric_bike","member","up to 10 min.","Sunday","September",17
"electric_bike","member","10 to 30 min.","Thursday","May",8
"electric_bike","member","up to 10 min.","Tuesday","November",17
"electric_bike","member","up to 10 min.","Friday","July",6
"classic_bike","casual","10 to 30 min.","Wednesday","April",5
"classic_bike","member","up to 10 min.","Thursday","May",15
"classic_bike","member","30 to 60 min.","Saturday","October",14
